feature_name,importance
Column_202,0
Column_203,0
Column_204,0
Column_205,0
Column_206,0
Column_207,0
Column_208,0
Column_209,0
Column_210,0
Column_181,0
Column_140,0
Column_179,0
Column_177,0
Column_145,0
Column_146,0
Column_149,0
Column_150,0
Column_151,0
Column_152,0
Column_153,0
Column_154,0
Column_155,0
Column_156,0
Column_158,0
Column_159,0
Column_160,0
Column_161,0
Column_162,0
Column_163,0
Column_164,0
Column_165,0
Column_166,0
Column_167,0
Column_168,0
Column_169,0
Column_170,0
Column_171,0
Column_172,0
Column_173,0
Column_174,0
Column_175,0
Column_176,0
Column_178,0
Column_350,0
Column_285,0
Column_352,0
Column_489,0
Column_490,0
Column_491,0
Column_492,0
Column_493,0
Column_494,0
Column_495,0
Column_496,0
Column_497,0
Column_351,0
Column_499,0
Column_500,0
Column_501,0
Column_502,0
Column_503,0
Column_504,0
Column_505,0
Column_506,0
Column_507,0
Column_508,0
Column_509,0
Column_510,0
Column_511,0
Column_512,0
Column_513,0
Column_514,0
Column_515,0
Column_488,0
Column_487,0
Column_486,0
Column_485,0
Column_451,0
Column_452,0
Column_453,0
Column_454,0
Column_455,0
Column_456,0
Column_457,0
Column_458,0
Column_459,0
Column_460,0
Column_461,0
Column_462,0
Column_467,0
Column_516,0
Column_468,0
Column_470,0
Column_471,0
Column_472,0
Column_473,0
Column_475,0
Column_476,0
Column_477,0
Column_478,0
Column_480,0
Column_481,0
Column_482,0
Column_483,0
Column_484,0
Column_469,0
Column_517,0
Column_518,0
Column_519,0
Column_552,0
Column_553,0
Column_554,0
Column_555,0
Column_556,0
Column_557,0
Column_558,0
Column_559,0
Column_560,0
Column_561,0
Column_562,0
Column_563,0
Column_564,0
Column_551,0
Column_565,0
Column_571,0
Column_572,0
Column_573,0
Column_574,0
Column_575,0
Column_576,0
Column_577,0
Column_578,0
Column_580,0
Column_581,0
Column_582,0
Column_583,0
Column_585,0
Column_566,0
Column_450,0
Column_550,0
Column_548,0
Column_520,0
Column_521,0
Column_522,0
Column_523,0
Column_524,0
Column_525,0
Column_526,0
Column_527,0
Column_528,0
Column_529,0
Column_530,0
Column_531,0
Column_532,0
Column_549,0
Column_533,0
Column_535,0
Column_536,0
Column_537,0
Column_538,0
Column_539,0
Column_540,0
Column_541,0
Column_542,0
Column_543,0
Column_544,0
Column_545,0
Column_546,0
Column_547,0
Column_534,0
Column_449,0
Column_498,0
Column_383,0
Column_396,0
Column_397,0
Column_398,0
Column_399,0
Column_400,0
Column_401,0
Column_402,0
Column_403,0
Column_404,0
Column_405,0
Column_406,0
Column_407,0
Column_395,0
Column_408,0
Column_410,0
Column_411,0
Column_412,0
Column_413,0
Column_414,0
Column_415,0
Column_416,0
Column_417,0
Column_361,0
Column_418,0
Column_419,0
Column_420,0
Column_409,0
Column_421,0
Column_394,0
Column_392,0
Column_360,0
Column_359,0
Column_358,0
Column_363,0
Column_364,0
Column_357,0
Column_368,0
Column_369,0
Column_371,0
Column_373,0
Column_374,0
Column_376,0
Column_393,0
Column_377,0
Column_380,0
Column_381,0
Column_382,0
Column_448,0
Column_384,0
Column_385,0
Column_386,0
Column_387,0
Column_388,0
Column_389,0
Column_390,0
Column_391,0
Column_379,0
Column_422,0
Column_362,0
Column_354,0
Column_426,0
Column_427,0
Column_437,0
Column_440,0
Column_428,0
Column_429,0
Column_430,0
Column_355,0
Column_436,0
Column_431,0
Column_432,0
Column_441,0
Column_435,0
Column_433,0
Column_434,0
Column_443,0
Column_423,0
Column_444,0
Column_425,0
Column_442,0
Column_353,0
Column_356,0
Column_439,0
Column_447,0
Column_438,0
Column_446,0
Column_445,0
Column_424,0
Column_696,1
Column_14,1
Column_59,1
Column_45,1
Column_29,1
Column_26,1
Column_74,1
Column_959,1
Column_1099,1
Column_18,1
Column_31,2
Column_71,2
Column_73,2
Column_55,2
Column_728,2
Column_48,2
Column_72,2
Column_21,3
Column_372,3
Column_964,3
Column_11,3
Column_23,3
Column_70,3
Column_69,3
Column_579,3
Column_980,3
Column_1064,3
Column_56,4
Column_378,4
Column_57,5
Column_587,5
Column_37,5
Column_1195,6
Column_675,6
Column_20,6
Column_24,6
Column_260,6
Column_479,7
Column_474,7
Column_40,7
Column_278,7
Column_38,7
Column_272,8
Column_62,8
Column_1181,9
Column_8,9
Column_6,9
Column_49,9
Column_58,9
Column_1197,10
Column_50,10
Column_721,10
Column_63,11
Column_66,11
Column_942,12
Column_53,12
Column_961,12
Column_60,12
Column_967,13
Column_930,13
Column_261,13
Column_7,14
Column_22,14
Column_36,14
Column_142,15
Column_1221,15
Column_41,15
Column_54,17
Column_92,17
Column_957,18
Column_61,18
Column_673,18
Column_370,19
Column_43,19
Column_3,19
Column_979,20
Column_141,20
Column_10,21
Column_42,22
Column_819,23
Column_51,23
Column_15,24
Column_931,24
Column_1,25
Column_932,25
Column_1213,26
Column_44,27
Column_997,27
Column_17,28
Column_83,30
Column_16,30
Column_966,30
Column_1107,32
Column_180,33
Column_820,35
Column_570,36
Column_52,37
Column_734,39
Column_933,39
Column_68,41
Column_4,41
Column_466,42
Column_1155,43
Column_5,43
Column_86,44
Column_35,44
Column_866,44
Column_1095,45
Column_707,45
Column_1016,48
Column_727,49
Column_465,50
Column_846,52
Column_754,53
Column_676,53
Column_569,54
Column_687,55
Column_958,59
Column_463,61
Column_19,63
Column_929,66
Column_27,66
Column_725,67
Column_275,69
Column_1058,71
Column_32,72
Column_674,75
Column_270,76
Column_1222,77
Column_91,78
Column_9,78
Column_148,80
Column_688,81
Column_157,82
Column_1212,83
Column_710,86
Column_1063,86
Column_841,87
Column_47,87
Column_584,88
Column_46,90
Column_567,91
Column_720,95
Column_568,98
Column_1000,99
Column_1178,101
Column_375,101
Column_0,104
Column_1180,106
Column_65,107
Column_1194,108
Column_677,109
Column_39,114
Column_464,115
Column_67,118
Column_365,120
Column_843,125
Column_678,130
Column_78,133
Column_1152,134
Column_821,134
Column_818,139
Column_995,140
Column_2,142
Column_943,147
Column_80,154
Column_1100,158
Column_366,163
Column_1097,177
Column_367,180
Column_144,190
Column_981,212
Column_695,214
Column_1057,230
Column_147,247
Column_64,368
Column_76,2576
Column_75,9949
