,feature_name,importance
2107,Column_2107,0
2106,Column_2106,0
2105,Column_2105,0
2101,Column_2101,0
2100,Column_2100,0
2099,Column_2099,0
2098,Column_2098,0
2097,Column_2097,0
2096,Column_2096,0
2095,Column_2095,0
2094,Column_2094,0
2093,Column_2093,0
2092,Column_2092,0
2091,Column_2091,0
2090,Column_2090,0
2089,Column_2089,0
2088,Column_2088,0
2087,Column_2087,0
2086,Column_2086,0
2085,Column_2085,0
2084,Column_2084,0
2083,Column_2083,0
2082,Column_2082,0
2060,Column_2060,0
2059,Column_2059,0
2058,Column_2058,0
2057,Column_2057,0
2056,Column_2056,0
2109,Column_2109,0
2054,Column_2054,0
2113,Column_2113,0
2115,Column_2115,0
2151,Column_2151,0
2150,Column_2150,0
2149,Column_2149,0
2148,Column_2148,0
2147,Column_2147,0
2146,Column_2146,0
2145,Column_2145,0
2144,Column_2144,0
2143,Column_2143,0
2142,Column_2142,0
2141,Column_2141,0
2140,Column_2140,0
2139,Column_2139,0
2138,Column_2138,0
2137,Column_2137,0
2136,Column_2136,0
2135,Column_2135,0
2134,Column_2134,0
2133,Column_2133,0
2132,Column_2132,0
2129,Column_2129,0
2127,Column_2127,0
2124,Column_2124,0
2123,Column_2123,0
2122,Column_2122,0
2121,Column_2121,0
2120,Column_2120,0
2119,Column_2119,0
2116,Column_2116,0
2114,Column_2114,0
1639,Column_1639,0
1915,Column_1915,0
1913,Column_1913,0
1744,Column_1744,0
1741,Column_1741,0
1740,Column_1740,0
1739,Column_1739,0
1738,Column_1738,0
1737,Column_1737,0
1736,Column_1736,0
1735,Column_1735,0
1734,Column_1734,0
1733,Column_1733,0
1732,Column_1732,0
1731,Column_1731,0
1730,Column_1730,0
1745,Column_1745,0
1729,Column_1729,0
1726,Column_1726,0
1723,Column_1723,0
1722,Column_1722,0
1721,Column_1721,0
1720,Column_1720,0
1719,Column_1719,0
1718,Column_1718,0
1717,Column_1717,0
1716,Column_1716,0
1715,Column_1715,0
1714,Column_1714,0
1713,Column_1713,0
1712,Column_1712,0
1728,Column_1728,0
1746,Column_1746,0
1747,Column_1747,0
1748,Column_1748,0
1779,Column_1779,0
1778,Column_1778,0
1777,Column_1777,0
1776,Column_1776,0
1775,Column_1775,0
1774,Column_1774,0
1773,Column_1773,0
1772,Column_1772,0
1771,Column_1771,0
1770,Column_1770,0
1769,Column_1769,0
1768,Column_1768,0
1767,Column_1767,0
1766,Column_1766,0
1765,Column_1765,0
1764,Column_1764,0
1763,Column_1763,0
1762,Column_1762,0
1761,Column_1761,0
1760,Column_1760,0
1759,Column_1759,0
1758,Column_1758,0
1757,Column_1757,0
1756,Column_1756,0
1755,Column_1755,0
1754,Column_1754,0
1753,Column_1753,0
1750,Column_1750,0
1749,Column_1749,0
1709,Column_1709,0
1707,Column_1707,0
1706,Column_1706,0
1705,Column_1705,0
1669,Column_1669,0
1668,Column_1668,0
1667,Column_1667,0
1666,Column_1666,0
1665,Column_1665,0
1664,Column_1664,0
1663,Column_1663,0
1662,Column_1662,0
1661,Column_1661,0
1660,Column_1660,0
1659,Column_1659,0
1658,Column_1658,0
1657,Column_1657,0
1656,Column_1656,0
1655,Column_1655,0
1654,Column_1654,0
1653,Column_1653,0
1652,Column_1652,0
1651,Column_1651,0
1650,Column_1650,0
1649,Column_1649,0
1648,Column_1648,0
1647,Column_1647,0
1646,Column_1646,0
1645,Column_1645,0
1644,Column_1644,0
1643,Column_1643,0
1642,Column_1642,0
1641,Column_1641,0
1670,Column_1670,0
1780,Column_1780,0
1671,Column_1671,0
1673,Column_1673,0
1704,Column_1704,0
1703,Column_1703,0
1702,Column_1702,0
1701,Column_1701,0
1700,Column_1700,0
1699,Column_1699,0
1698,Column_1698,0
1697,Column_1697,0
1696,Column_1696,0
1695,Column_1695,0
1694,Column_1694,0
1693,Column_1693,0
1692,Column_1692,0
1691,Column_1691,0
1690,Column_1690,0
1689,Column_1689,0
1688,Column_1688,0
1687,Column_1687,0
1686,Column_1686,0
1684,Column_1684,0
1683,Column_1683,0
1681,Column_1681,0
1680,Column_1680,0
1679,Column_1679,0
1678,Column_1678,0
1677,Column_1677,0
1676,Column_1676,0
1675,Column_1675,0
1674,Column_1674,0
1672,Column_1672,0
1914,Column_1914,0
1781,Column_1781,0
1783,Column_1783,0
1879,Column_1879,0
1878,Column_1878,0
1877,Column_1877,0
1876,Column_1876,0
1875,Column_1875,0
1874,Column_1874,0
1873,Column_1873,0
1872,Column_1872,0
1871,Column_1871,0
1870,Column_1870,0
1869,Column_1869,0
1868,Column_1868,0
1867,Column_1867,0
1880,Column_1880,0
1866,Column_1866,0
1864,Column_1864,0
1863,Column_1863,0
1862,Column_1862,0
1861,Column_1861,0
1860,Column_1860,0
1859,Column_1859,0
1858,Column_1858,0
1857,Column_1857,0
1856,Column_1856,0
1855,Column_1855,0
1854,Column_1854,0
1853,Column_1853,0
1852,Column_1852,0
1865,Column_1865,0
1881,Column_1881,0
1882,Column_1882,0
1883,Column_1883,0
1912,Column_1912,0
1911,Column_1911,0
1910,Column_1910,0
1909,Column_1909,0
1908,Column_1908,0
1907,Column_1907,0
1906,Column_1906,0
1905,Column_1905,0
1904,Column_1904,0
1903,Column_1903,0
1902,Column_1902,0
1901,Column_1901,0
1900,Column_1900,0
1899,Column_1899,0
1898,Column_1898,0
1897,Column_1897,0
1896,Column_1896,0
1895,Column_1895,0
1894,Column_1894,0
1893,Column_1893,0
1892,Column_1892,0
1891,Column_1891,0
1890,Column_1890,0
1889,Column_1889,0
1888,Column_1888,0
1887,Column_1887,0
1886,Column_1886,0
1885,Column_1885,0
1884,Column_1884,0
1851,Column_1851,0
1850,Column_1850,0
